nr;area name;belongs to;eligible voters;voters;invalid votes;valid votes;cdu;spd;linke;green;fdp;afd
13;Mecklenburg-Vorpommern;99;1324614;938587;11077;927510;307263;139689;165368;39514;57895;172409
18;Hamburg-Mitte;2;243543;175731;1438;174293;40909;41551;26109;25164;16255;13940
19;Hamburg-Altona;2;185944;146090;864;145226;36139;29680;22766;26036;16306;8028
20;Hamburg-Eimsbüttel;2;192399;156013;810;155203;41826;34575;19290;26372;17463;9138
21;Hamburg-Nord;2;217226;178760;886;177874;55737;38150;16720;25584;24652;10963
22;Hamburg-Wandsbek;2;235513;172574;1273;171301;49482;45542;16847;17773;17621;16732
23;Hamburg-Bergedorf – Harburg;2;222031;155758;1537;154221;42219;40364;17344;15442;13313;17710
2;Hamburg;99;1296656;984926;6808;978118;266312;229862;119076;136371;105610;76511
24;Aurich – Emden;3;191541;142676;1605;141071;39552;53353;10142;10503;10079;12877
25;Unterems;3;235234;176342;1390;174952;74173;48194;9459;10258;13629;14620
26;Friesland – Wilhelmshaven – Wittmund;3;189344;139153;1557;137596;45098;42207;9738;9984;12958;12490
27;Oldenburg – Ammerland;3;226253;175967;1286;174681;53417;45514;16351;21821;18136;12625
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;227696;170194;1375;168819;56526;47622;11567;13525;17076;16392
29;Cuxhaven – Stade II;3;187679;141726;1007;140719;54163;38923;9121;9709;11483;12650
30;Stade I – Rotenburg II;3;197297;153044;849;152195;59229;37361;9564;12511;14538;13513
31;Mittelems;3;230151;179811;959;178852;88310;41983;8167;10803;16181;9701
32;Cloppenburg – Vechta;3;220042;163669;1153;162516;86301;28870;7145;8207;15298;13145
33;Diepholz – Nienburg I;3;193934;148298;1020;147278;55833;37505;8951;11992;15515;12434
34;Osterholz – Verden;3;196136;153036;1238;151798;53035;40047;11055;14052;13464;14675
35;Rotenburg I – Heidekreis;3;168101;127071;967;126104;47558;34211;7422;10068;10699;11671
36;Harburg;3;199081;161837;982;160855;57815;35377;10117;16410;18839;16047
37;Lüchow-Dannenberg – Lüneburg;3;180865;141000;861;140139;43861;32865;12705;18906;12959;12498
38;Osnabrück-Land;3;199131;151302;1107;150195;60737;38529;9156;12346;14603;10940
39;Stadt Osnabrück;3;196720;152107;938;151169;53977;37336;12759;18353;14309;9499
40;Nienburg II – Schaumburg;3;194800;146673;1019;145654;49896;43307;8289;11831;12430;14945
